old_fqn,new_fqn,reason
balloon::tests::balloonk_absent_converges_to_pre_spec_faces_and_target_for_all_scopes,balloon::target_tests::balloonk_absent_converges_to_pre_spec_faces_and_target_for_all_scopes,theme_split
balloon::tests::build_balloon_target_composes_scope_series_on_emo2_fixture,balloon::target_tests::build_balloon_target_composes_scope_series_on_emo2_fixture,theme_split
balloon::tests::build_balloon_target_end_to_end_frames_only,balloon::target_tests::build_balloon_target_end_to_end_frames_only,theme_split
balloon::tests::build_balloon_target_enumerates_multiple_even_id_faces,balloon::target_tests::build_balloon_target_enumerates_multiple_even_id_faces,theme_split
balloon::tests::face_id_of_is_strict_three_stage_predicate,balloon::series_tests::face_id_of_is_strict_three_stage_predicate,theme_split
balloon::tests::face_judgment_is_series_explicit_not_fixed_prefix,balloon::series_tests::face_judgment_is_series_explicit_not_fixed_prefix,theme_split
balloon::tests::load_scope_balloon_model_debug_logs_missing_override_and_continues,balloon::model_tests::load_scope_balloon_model_debug_logs_missing_override_and_continues,theme_split
balloon::tests::load_scope_balloon_model_info_logs_scope_and_resolved_values,balloon::model_tests::load_scope_balloon_model_info_logs_scope_and_resolved_values,theme_split
balloon::tests::load_scope_balloon_model_inherits_unspecified_keys_from_descript,balloon::model_tests::load_scope_balloon_model_inherits_unspecified_keys_from_descript,theme_split
balloon::tests::load_scope_balloon_model_merges_per_scope_on_emo2_fixture,balloon::model_tests::load_scope_balloon_model_merges_per_scope_on_emo2_fixture,theme_split
balloon::tests::load_scope_balloon_model_warns_on_missing_descript,balloon::model_tests::load_scope_balloon_model_warns_on_missing_descript,theme_split
balloon::tests::load_scope_balloon_model_warns_on_non_notfound_override_error,balloon::model_tests::load_scope_balloon_model_warns_on_non_notfound_override_error,theme_split
balloon::tests::no_frames_returns_empty_composition,balloon::target_tests::no_frames_returns_empty_composition,theme_split
balloon::tests::override_file_name_follows_adopted_prefix_per_face,balloon::series_tests::override_file_name_follows_adopted_prefix_per_face,theme_split
balloon::tests::override_file_name_uses_chain_prefix_not_file_case,balloon::series_tests::override_file_name_uses_chain_prefix_not_file_case,theme_split
balloon::tests::prefix_chain_ge2_excludes_scope1_canonical_name,balloon::series_tests::prefix_chain_ge2_excludes_scope1_canonical_name,theme_split
balloon::tests::prefix_chain_head_is_scope_canonical_name_for_any_scope,balloon::series_tests::prefix_chain_head_is_scope_canonical_name_for_any_scope,theme_split
balloon::tests::prefix_chain_scope0_is_canonical_then_legacy_all_own,balloon::series_tests::prefix_chain_scope0_is_canonical_then_legacy_all_own,theme_split
balloon::tests::prefix_chain_scope1_is_own_then_default,balloon::series_tests::prefix_chain_scope1_is_own_then_default,theme_split
balloon::tests::prefix_chain_scope5_names_kero_then_default,balloon::series_tests::prefix_chain_scope5_names_kero_then_default,theme_split
balloon::tests::resolve_balloon_faces_errors_on_unreadable_directory,balloon::series_tests::resolve_balloon_faces_errors_on_unreadable_directory,theme_split
balloon::tests::resolve_balloon_faces_falls_back_per_face_id_on_real_directory,balloon::series_tests::resolve_balloon_faces_falls_back_per_face_id_on_real_directory,theme_split
balloon::tests::resolve_balloon_faces_is_deterministic_and_ascending,balloon::series_tests::resolve_balloon_faces_is_deterministic_and_ascending,theme_split
balloon::tests::resolve_balloon_faces_requires_face_zero,balloon::series_tests::resolve_balloon_faces_requires_face_zero,theme_split
balloon::tests::resolve_does_not_warn_for_kero_named_tier_at_scope2,balloon::series_tests::resolve_does_not_warn_for_kero_named_tier_at_scope2,theme_split
balloon::tests::resolve_emits_no_fallback_warn_at_scope0,balloon::series_tests::resolve_emits_no_fallback_warn_at_scope0,theme_split
balloon::tests::resolve_warns_only_for_default_tier_face_at_scope1,balloon::series_tests::resolve_warns_only_for_default_tier_face_at_scope1,theme_split
balloon::tests::scope0_faces_and_target_match_pre_spec_enumeration_on_emo2_fixture,balloon::target_tests::scope0_faces_and_target_match_pre_spec_enumeration_on_emo2_fixture,theme_split
balloon::tests::select_faces_converges_to_legacy_series_for_all_scopes,balloon::series_tests::select_faces_converges_to_legacy_series_for_all_scopes,theme_split
balloon::tests::select_faces_falls_back_per_face_id_not_per_series,balloon::series_tests::select_faces_falls_back_per_face_id_not_per_series,theme_split
balloon::tests::select_faces_is_deterministic_regardless_of_input_order,balloon::series_tests::select_faces_is_deterministic_regardless_of_input_order,theme_split
balloon::tests::select_faces_prefers_canonical_name_over_legacy,balloon::series_tests::select_faces_prefers_canonical_name_over_legacy,theme_split
balloon::tests::select_faces_preserves_original_file_name_case,balloon::series_tests::select_faces_preserves_original_file_name_case,theme_split
balloon::tests::select_faces_rejects_non_balloon_faces,balloon::series_tests::select_faces_rejects_non_balloon_faces,theme_split
balloon::tests::select_faces_unions_face_ids_across_all_prefixes,balloon::series_tests::select_faces_unions_face_ids_across_all_prefixes,theme_split
balloon::tests::series_family_table_expresses_deeper_legacy_names,balloon::series_tests::series_family_table_expresses_deeper_legacy_names,theme_split
balloon::tests::synthetic_text_transcribes_face_id_and_path,balloon::target_tests::synthetic_text_transcribes_face_id_and_path,theme_split
presenter::tests::alpha_mask_bits_come_from_k_scaled_display_bytes,presenter::fractional_scale_tests::alpha_mask_bits_come_from_k_scaled_display_bytes,theme_split
presenter::tests::applied_absent_with_visible_surface_warns_once_and_degradations_stay_silent,presenter::refresh_and_log_tests::applied_absent_with_visible_surface_warns_once_and_degradations_stay_silent,theme_split
presenter::tests::applied_scale_is_none_before_display_and_reports_applied_k_after,presenter::refresh_and_log_tests::applied_scale_is_none_before_display_and_reports_applied_k_after,theme_split
presenter::tests::attach_target_keeps_scale_policy_per_window,presenter::dpi_scale_tests::attach_target_keeps_scale_policy_per_window,theme_split
presenter::tests::bind_change_on_same_surface_updates_display,presenter::compose_input_tests::bind_change_on_same_surface_updates_display,theme_split
presenter::tests::client_entry_matches_native_entry_at_identity_scale,presenter::read_accessor_tests::client_entry_matches_native_entry_at_identity_scale,theme_split
presenter::tests::current_surface_id_follows_surface_switch,presenter::read_accessor_tests::current_surface_id_follows_surface_switch,theme_split
presenter::tests::current_surface_id_is_last_shown_after_display,presenter::read_accessor_tests::current_surface_id_is_last_shown_after_display,theme_split
